Benchmarks,Policy,RT,IPC,MPKI,Pred_Accuracy (%),Energy (mJ),REF/WB Counts
server_013,WriteBack,10ms,0.772192,20.32474,95.32739765522126,9.386105929000594,0.0
server_013,WriteBack,100ms,0.772192,20.32474,95.32739765522126,9.908053054000595,0.0
server_013,WriteBack,1s,0.772192,20.32474,95.32739765522126,10.719970804000596,0.0
server_014,Refresh,1ms,0.9315225,3.37512,95.42965528500457,2.539492654890461,16188.5
server_014,Refresh,10ms,0.932084,3.37512,95.42965528500457,2.7298753956958026,14.0
server_014,Refresh,100ms,0.932085,3.37512,95.42965528500457,2.98401522841123,0.0
server_014,Refresh,1s,0.932085,3.37512,95.42965528500457,3.3793552084112304,0.0
server_014,WriteBack,1ms,0.932026,3.3907499999999997,95.43055790807568,2.539562029323585,13387.0
server_014,WriteBack,10ms,0.932085,3.37512,95.42965528500457,2.72986809841123,8.0
server_014,WriteBack,100ms,0.932085,3.37512,95.42965528500457,2.98401522841123,0.0
server_014,WriteBack,1s,0.932085,3.37512,95.42965528500457,3.3793552084112304,0.0
server_015,Refresh,1ms,0.9538705000000001,3.6619398967568033,95.31307726144485,2.6498932670357216,30537.5
server_015,Refresh,10ms,0.954883,3.6619398967568033,95.31307726144485,2.834964994246407,1826.0
server_015,Refresh,100ms,0.9549829999999999,3.6619398967568033,95.31307726144485,3.088431949538492,0.0
server_015,Refresh,1s,0.9549829999999999,3.6619398967568033,95.31307726144485,3.484193469538492,0.0
server_015,WriteBack,1ms,0.9547924999999999,3.6808298961764034,95.31692216594763,2.6505660888982545,30672.5
server_015,WriteBack,10ms,0.954975,3.661999896754403,95.31343528106234,2.834803137204716,3900.5
server_015,WriteBack,100ms,0.9549829999999999,3.6619398967568033,95.31307726144485,3.088431949538492,0.0
server_015,WriteBack,1s,0.9549829999999999,3.6619398967568033,95.31307726144485,3.484193469538492,0.0
server_016,Refresh,1ms,0.6997180000000001,42.966218281351274,95.21208490812177,14.064400594802889,3750.0
server_016,Refresh,10ms,0.6997925,42.966218281351274,95.21208490812177,14.39101598917575,0.0
server_016,Refresh,100ms,0.6997925,42.966218281351274,95.21208490812177,14.813122604175751,0.0
server_016,Refresh,1s,0.6997925,42.966218281351274,95.21208490812177,15.469732894175749,0.0
server_016,WriteBack,1ms,0.6997964999999999,42.975168280993266,95.21221131930201,14.066583645987103,2081.0
server_016,WriteBack,10ms,0.6997925,42.966218281351274,95.21208490812177,14.39101598917575,0.0
server_016,WriteBack,100ms,0.6997925,42.966218281351274,95.21208490812177,14.813122604175751,0.0
server_016,WriteBack,1s,0.6997925,42.966218281351274,95.21208490812177,15.469732894175749,0.0
server_017,Refresh,1ms,0.452879,5.634559774617609,95.33422652545703,3.403687451017846,9320.0
server_017,Refresh,10ms,0.452955,5.634559774617609,95.33422652545703,3.6168514617953473,73.0
server_017,Refresh,100ms,0.452956,5.634559774617609,95.33422652545703,3.8962320633485823,0.0
server_017,Refresh,1s,0.452956,5.634559774617609,95.33422652545703,4.330883273348582,0.0
server_017,WriteBack,1ms,0.45278,5.6546297738148095,95.33404843596928,3.4051462904011016,5741.0
server_017,WriteBack,10ms,0.4528935,5.635709774571609,95.33429446673998,3.617364992562969,323.0
server_017,WriteBack,100ms,0.452956,5.634559774617609,95.33422652545703,3.8962320633485823,0.0
server_017,WriteBack,1s,0.452956,5.634559774617609,95.33422652545703,4.330883273348582,0.0
server_018,Refresh,1ms,0.48822050000000006,5.416849881322805,95.3189401408502,3.2627190408550164,6308.0
server_018,Refresh,10ms,0.4882745,5.416849881322805,95.3189401408502,3.472048705705436,422.0
server_018,Refresh,100ms,0.4882805,5.416849881322805,95.3189401408502,3.7443388962296336,0.0
server_018,Refresh,1s,0.4882805,5.416849881322805,95.3189401408502,4.168243356229634,0.0
server_018,WriteBack,1ms,0.48831800000000003,5.433619881022004,95.31885011946596,3.2643619524997423,5467.0
server_018,WriteBack,10ms,0.488387,5.417359881315205,95.31896336764618,3.4719266456523687,514.5
server_018,WriteBack,100ms,0.4882805,5.416849881322805,95.3189401408502,3.7443388962296336,0.0
server_018,WriteBack,1s,0.4882805,5.416849881322805,95.3189401408502,4.168243356229634,0.0
server_019,Refresh,1ms,0.44061,5.788529884229403,95.3367373548029,3.438707514600955,12363.5
server_019,Refresh,10ms,0.44070299999999996,5.788529884229403,95.3367373548029,3.6479452763862037,255.0
server_019,Refresh,100ms,0.44070600000000004,5.788529884229403,95.3367373548029,3.9238243536103745,0.0
server_019,Refresh,1s,0.44070600000000004,5.788529884229403,95.3367373548029,4.353176213610375,0.0
server_019,WriteBack,1ms,0.440835,5.804859883902802,95.33666932097464,3.4378146828186846,6836.5
server_019,WriteBack,10ms,0.44060900000000003,5.788519884229602,95.33681413736075,3.6480473933001445,163.5
server_019,WriteBack,100ms,0.44070600000000004,5.788529884229403,95.3367373548029,3.9238243536103745,0.0
server_019,WriteBack,1s,0.44070600000000004,5.788529884229403,95.3367373548029,4.353176213610375,0.0
server_020,Refresh,1ms,0.488769,5.370169892596602,95.31634268576589,3.2614168417624314,4007.0
server_020,Refresh,10ms,0.4888045,5.370169892596602,95.31634268576589,3.472574094149164,195.5
server_020,Refresh,100ms,0.488807,5.370169892596602,95.31634268576589,3.74615066365315,0.0
server_020,Refresh,1s,0.488807,5.370169892596602,95.31634268576589,4.17187260365315,0.0
server_020,WriteBack,1ms,0.488665,5.3872298922554025,95.31614548689342,3.2638648390414913,4678.0
server_020,WriteBack,10ms,0.4886405,5.371129892577402,95.316422435699,3.4728137575861098,388.0
server_020,WriteBack,100ms,0.488807,5.370169892596602,95.31634268576589,3.74615066365315,0.0
server_020,WriteBack,1s,0.488807,5.370169892596602,95.31634268576589,4.17187260365315,0.0
server_021,Refresh,1ms,0.5047135,5.003690000000001,95.31361922327457,3.1305785467727,3284.5
server_021,Refresh,10ms,0.504744,5.003690000000001,95.31361922327457,3.339745478333908,191.0
server_021,Refresh,100ms,0.504747,5.003690000000001,95.31361922327457,3.6103498256881528,0.0
server_021,Refresh,1s,0.504747,5.003690000000001,95.31361922327457,4.031444695688153,0.0
server_021,WriteBack,1ms,0.504706,5.020099999999999,95.3136251341108,3.1338219748049507,5019.0
server_021,WriteBack,10ms,0.5048795,5.00507,95.31377747824558,3.3404269631711556,580.5
server_021,WriteBack,100ms,0.504747,5.003690000000001,95.31361922327457,3.6103498256881528,0.0
server_021,WriteBack,1s,0.504747,5.003690000000001,95.31361922327457,4.031444695688153,0.0
server_022,Refresh,1ms,0.5032760000000001,5.115299795388008,95.30796170880363,3.143431891306765,5407.5
server_022,Refresh,10ms,0.5033275,5.115299795388008,95.30796170880363,3.35084383302423,198.0
server_022,Refresh,100ms,0.5033305,5.115299795388008,95.30796170880363,3.6204133644560637,0.0
server_022,Refresh,1s,0.5033305,5.115299795388008,95.30796170880363,4.039904184456063,0.0
server_022,WriteBack,1ms,0.5036205,5.130549794778008,95.30784198200914,3.1448579143906357,5799.5
server_022,WriteBack,10ms,0.5031785,5.1161497953540085,95.30805234825613,3.3513018484300416,934.0
server_022,WriteBack,100ms,0.5033305,5.115299795388008,95.30796170880363,3.6204133644560637,0.0
server_022,WriteBack,1s,0.5033305,5.115299795388008,95.30796170880363,4.039904184456063,0.0
server_023,Refresh,1ms,0.652714,48.87555951837301,95.21731907567678,16.016305388236425,0.0
server_023,Refresh,10ms,0.652714,48.87555951837301,95.21731907567678,16.387677963236428,0.0
server_023,Refresh,100ms,0.652714,48.87555951837301,95.21731907567678,16.86515698823643,0.0
server_023,Refresh,1s,0.652714,48.87555951837301,95.21731907567678,17.607902138236426,0.0
server_023,WriteBack,1ms,0.652714,48.87555951837301,95.21731907567678,16.016305388236425,0.0
server_023,WriteBack,10ms,0.652714,48.87555951837301,95.21731907567678,16.387677963236428,0.0
server_023,WriteBack,100ms,0.652714,48.87555951837301,95.21731907567678,16.86515698823643,0.0
server_023,WriteBack,1s,0.652714,48.87555951837301,95.21731907567678,17.607902138236426,0.0
server_024,Refresh,1ms,0.6407229999999999,51.17592897648142,95.21111020110664,16.694971221392805,0.0
server_024,Refresh,10ms,0.6407229999999999,51.17592897648142,95.21111020110664,17.079728986392805,0.0
server_024,Refresh,100ms,0.6407229999999999,51.17592897648142,95.21111020110664,17.57441754139281,0.0
server_024,Refresh,1s,0.6407229999999999,51.17592897648142,95.21111020110664,18.343933071392808,0.0
server_024,WriteBack,1ms,0.6407229999999999,51.17592897648142,95.21111020110664,16.694971221392805,0.0
server_024,WriteBack,10ms,0.6407229999999999,51.17592897648142,95.21111020110664,17.079728986392805,0.0
server_024,WriteBack,100ms,0.6407229999999999,51.17592897648142,95.21111020110664,17.57441754139281,0.0
server_024,WriteBack,1s,0.6407229999999999,51.17592897648142,95.21111020110664,18.343933071392808,0.0
server_025,Refresh,1ms,0.6368445,49.887168988578836,95.21766050814503,16.52815079624386,1598.0
server_025,Refresh,10ms,0.6368705,49.887168988578836,95.21766050814503,16.92245254099492,0.0
server_025,Refresh,100ms,0.6368705,49.887168988578836,95.21766050814503,17.430337705994923,0.0
server_025,Refresh,1s,0.6368705,49.887168988578836,95.21766050814503,18.220381295994923,0.0
server_025,WriteBack,1ms,0.636861,49.889128988541245,95.2176831428103,16.52818001028829,1511.5
server_025,WriteBack,10ms,0.6368705,49.887168988578836,95.21766050814503,16.92245254099492,0.0
server_025,WriteBack,100ms,0.6368705,49.887168988578836,95.21766050814503,17.430337705994923,0.0
server_025,WriteBack,1s,0.6368705,49.887168988578836,95.21766050814503,18.220381295994923,0.0
server_026,Refresh,1ms,0.6016174999999999,56.08356,95.2169001666747,18.411319019944777,0.0
server_026,Refresh,10ms,0.6016174999999999,56.08356,95.2169001666747,18.82846501494478,0.0
server_026,Refresh,100ms,0.6016174999999999,56.08356,95.2169001666747,19.36479557994478,0.0
server_026,Refresh,1s,0.6016174999999999,56.08356,95.2169001666747,20.199087569944783,0.0
server_026,WriteBack,1ms,0.6016174999999999,56.08356,95.2169001666747,18.411319019944777,0.0
server_026,WriteBack,10ms,0.6016174999999999,56.08356,95.2169001666747,18.82846501494478,0.0
server_026,WriteBack,100ms,0.6016174999999999,56.08356,95.2169001666747,19.36479557994478,0.0
server_026,WriteBack,1s,0.6016174999999999,56.08356,95.2169001666747,20.199087569944783,0.0
server_027,Refresh,1ms,0.5994115,56.421078299463055,95.21615109196102,18.48008594332254,0.0
server_027,Refresh,10ms,0.5994115,56.421078299463055,95.21615109196102,18.89789630832254,0.0
server_027,Refresh,100ms,0.5994115,56.421078299463055,95.21615109196102,19.43508106332254,0.0
server_027,Refresh,1s,0.5994115,56.421078299463055,95.21615109196102,20.270701793322537,0.0
server_027,WriteBack,1ms,0.5994115,56.421078299463055,95.21615109196102,18.48008594332254,0.0
server_027,WriteBack,10ms,0.5994115,56.421078299463055,95.21615109196102,18.89789630832254,0.0
server_027,WriteBack,100ms,0.5994115,56.421078299463055,95.21615109196102,19.43508106332254,0.0
server_027,WriteBack,1s,0.5994115,56.421078299463055,95.21615109196102,20.270701793322537,0.0
server_028,Refresh,1ms,0.5796509999999999,58.27216883455662,95.21604552427746,19.098660721764883,16.0
server_028,Refresh,10ms,0.5796509999999999,58.27216883455662,95.21604552427746,19.53210776676488,0.0
server_028,Refresh,100ms,0.5796509999999999,58.27216883455662,95.21604552427746,20.089406081764878,0.0
server_028,Refresh,1s,0.5796509999999999,58.27216883455662,95.21604552427746,20.956314571764878,0.0
server_028,WriteBack,1ms,0.5796625,58.27189942445341,95.21605589786722,19.09875911901742,16.5
server_028,WriteBack,10ms,0.5796509999999999,58.27216883455662,95.21604552427746,19.53210776676488,0.0
server_028,WriteBack,100ms,0.5796509999999999,58.27216883455662,95.21604552427746,20.089406081764878,0.0
server_028,WriteBack,1s,0.5796509999999999,58.27216883455662,95.21604552427746,20.956314571764878,0.0
server_029,Refresh,1ms,0.573445,59.0262582515179,95.21562932939868,19.3423778908908,15.5
server_029,Refresh,10ms,0.573445,59.0262582515179,95.21562932939868,19.779055030890795,0.0
server_029,Refresh,100ms,0.573445,59.0262582515179,95.21562932939868,20.340506035890797,0.0
server_029,Refresh,1s,0.573445,59.0262582515179,95.21562932939868,21.2138742658908,0.0
server_029,WriteBack,1ms,0.573462,59.0260282515179,95.21562218549849,19.34209399737268,28.5
server_029,WriteBack,10ms,0.573445,59.0262582515179,95.21562932939868,19.779055030890795,0.0
server_029,WriteBack,100ms,0.573445,59.0262582515179,95.21562932939868,20.340506035890797,0.0
server_029,WriteBack,1s,0.573445,59.0262582515179,95.21562932939868,21.2138742658908,0.0
server_030,Refresh,1ms,0.5780605,60.028597598856095,95.21663338759556,19.70928910551409,6.5
server_030,Refresh,10ms,0.5780605,60.028597598856095,95.21663338759556,20.15236185551409,0.0
server_030,Refresh,100ms,0.5780605,60.028597598856095,95.21663338759556,20.72203058051409,0.0
server_030,Refresh,1s,0.5780605,60.028597598856095,95.21663338759556,21.608181930514093,0.0
server_030,WriteBack,1ms,0.5780605,60.0286075988557,95.21663338635747,19.70928690051409,5.0
server_030,WriteBack,10ms,0.5780605,60.028597598856095,95.21663338759556,20.15236185551409,0.0
server_030,WriteBack,100ms,0.5780605,60.028597598856095,95.21663338759556,20.72203058051409,0.0
server_030,WriteBack,1s,0.5780605,60.028597598856095,95.21663338759556,21.608181930514093,0.0
server_031,Refresh,1ms,0.5712165,60.67438,95.21387041379535,19.750154214808965,21.5
server_031,Refresh,10ms,0.5712165,60.67438,95.21387041379535,20.190486994808964,0.0
server_031,Refresh,100ms,0.5712165,60.67438,95.21387041379535,20.756641579808967,0.0
server_031,Refresh,1s,0.5712165,60.67438,95.21387041379535,21.637326489808963,0.0
server_031,WriteBack,1ms,0.5712360000000001,60.674260000000004,95.21385048823123,19.749608809608002,62.5
server_031,WriteBack,10ms,0.5712165,60.67438,95.21387041379535,20.190486994808964,0.0
server_031,WriteBack,100ms,0.5712165,60.67438,95.21387041379535,20.756641579808967,0.0
server_031,WriteBack,1s,0.5712165,60.67438,95.21387041379535,21.637326489808963,0.0
server_032,Refresh,1ms,0.571885,64.6825174126993,95.20446786023487,20.848943745739863,27.0
server_032,Refresh,10ms,0.5718855,64.6825174126993,95.20446786023487,21.309387569911593,1.0
server_032,Refresh,100ms,0.5718855,64.6825174126993,95.20446786023487,21.901401244911593,0.0
server_032,Refresh,1s,0.5718855,64.6825174126993,95.20446786023487,22.82231221491159,0.0
server_032,WriteBack,1ms,0.57193,64.6825574126977,95.20450767387184,20.849809820277493,2988.5
server_032,WriteBack,10ms,0.571924,64.6826074126957,95.20441799562596,21.308195885448036,527.5
server_032,WriteBack,100ms,0.5718855,64.6825174126993,95.20446786023487,21.901401244911593,0.0
server_032,WriteBack,1s,0.5718855,64.6825174126993,95.20446786023487,22.82231221491159,0.0
server_033,Refresh,1ms,0.680052,56.883539999999996,95.15526159209816,17.54365876928501,569.5
server_033,Refresh,10ms,0.6800615,56.883539999999996,95.15526159209816,17.980922627728795,7.5
